data            ibm           sp
20040730      -0.012252     -0.034291
20040831      -0.025267      0.002287
20040930       0.012398      0.009364
20041029       0.046769      0.014014
20041130       0.052033      0.038595
20041231       0.046053      0.032458
20050131      -0.052343     -0.025290
20050228      -0.007065      0.018903
20050331      -0.012962     -0.019118
20050429      -0.164150     -0.020109
20050531      -0.008248      0.029952
20050630      -0.017869     -0.000143
20050729       0.124798      0.035968
20050831      -0.031632     -0.011222
20050930      -0.004962      0.006949
20051031       0.020693     -0.017741
20051130       0.088178      0.035186
20051230      -0.075366     -0.000952
20060131      -0.010949      0.025467
20060228      -0.010578      0.000453
20060331       0.027792      0.011065
20060428      -0.001576      0.012187
20060531      -0.025990     -0.030917
20060630      -0.038548      0.000087
20060731       0.007680      0.005086
20060831       0.049864      0.021274
20060929       0.011980      0.024566
20061031       0.126800      0.031508
20061130      -0.001191      0.016467
20061229       0.056897      0.012616
20070131       0.020587      0.014059
20070228      -0.059607     -0.021846
20070330       0.014203      0.009980
20070430       0.084341      0.043291
20070531       0.046864      0.032549
20070629      -0.012664     -0.017816
20070731       0.051306     -0.031982
20070831       0.058202      0.012864
20070928       0.009512      0.035794
20071031      -0.014261      0.014822
20071130      -0.090768     -0.044043
20071231       0.027762     -0.008628
20080131      -0.009158     -0.061163
20080229       0.066754     -0.034761
20080331       0.011242     -0.005960
20080430       0.048289      0.047547
20080530       0.076471      0.010674
20080630      -0.084215     -0.085962
20080731       0.079727     -0.009859
20080829      -0.044929      0.012191
20080930      -0.039185     -0.090791
20081031      -0.205113     -0.169425
20081128      -0.116919     -0.074849
20081231       0.031373      0.007822
20090130       0.088997     -0.085657
20090227       0.009602     -0.109931
20090331       0.052809      0.085405
20090430       0.065229      0.093925
20090529       0.035074      0.053081
20090630      -0.017501      0.000196
20090731       0.129381      0.074142
20090831       0.005681      0.033560
20090930       0.013215      0.035723
20091030       0.008361     -0.019762
20091130       0.052152      0.057364
20091231       0.036011      0.017771
20100129      -0.065011     -0.036974
20100226       0.043468      0.028514
20100331       0.008572      0.058796
20100430       0.005848      0.014759
20100528      -0.023953     -0.081976
20100630      -0.014210     -0.053882
20100730       0.039844      0.068778
20100831      -0.035981     -0.047449
20100930       0.089418      0.087551
20101029       0.070523      0.036856
20101130      -0.010376     -0.002290
20101231       0.037466      0.065300
20110131       0.103843      0.022646
20110228       0.003272      0.031957
20110331       0.007351     -0.001047
20110429       0.046054      0.028495
20110531      -0.005276     -0.013501
20110630       0.015509     -0.018258
20110729       0.060041     -0.021474
20110831      -0.050536     -0.056791
20110930       0.017218     -0.071762
